,rho
V1,0.05357142857142857
MST,
V6,
V2,0.10301695209842054
V3,0.5274725274725275
V4,0.38461538461538464
V8,
4,-0.6187641740666575
3b,-0.6321428571428571
FEF,
PEF,
55b,
V3A,
RSC,0.11558686727582712
POS2,
V7,
IPS1,
FFC,0.3347309635022892
V3B,
LO1,
LO2,
PIT,
MT,
A1,-0.39930008695285735
PSL,-0.21602093145972148
SFL,
PCV,
STV,-0.6356959811408013
7Pm,
7m,
POS1,
23d,
v23ab,
d23ab,-0.0911858315520097
31pv,-0.4566257649772231
5m,
5mv,
23c,-0.10714285714285714
5L,
24dd,-0.7348739320365314
24dv,-0.3719022376391383
7AL,
SCEF,-0.22767110220996253
6ma,-0.04569483547489869
7Am,
7PL,
7PC,0.42857142857142855
LIPv,
VIP,
MIP,
1,-0.6094613148925724
2,-0.2833333333333333
3a,-0.6982395792670782
6d,-0.2857142857142857
6mp,-0.4909090909090909
6v,-0.3449549439489389
p24pr,-0.4951861630926565
33pr,-0.1793221910499641
a24pr,-0.5173014436646168
p32pr,-0.4156237127984499
a24,-0.26666666666666666
d32,-0.4096682888050979
8BM,-0.12613124477737825
p32,
10r,0.32142857142857145
47m,0.06694619270045783
8Av,-0.7693460215630882
8Ad,-0.6218706970438532
9m,
8BL,-0.23424374030084533
9p,
10d,
8C,-0.4746649242273876
44,-0.4821300014478589
45,0.1173411844133571
47l,0.3020964705941852
a47r,-0.2515015150017844
6r,-0.40331071657878365
IFJa,-0.3105055201845117
IFJp,
IFSp,-0.288273197272499
IFSa,-0.2517685275621215
p9-46v,-0.374671488892938
46,-0.2136283549012139
a9-46v,-0.07142857142857142
9-46d,-0.10352448020679078
9a,
10v,
a10p,
10pp,
11l,-0.07317209199829249
13l,0.07294866524160776
OFC,0.25874125874125875
47s,0.25
LIPd,
6a,-0.22063002102525883
i6-8,-0.025210974204480537
s6-8,-0.23809523809523808
43,-0.5907747120653603
OP4,-0.7174960033341752
OP1,-0.48632443494405175
OP2-3,-0.3849406080276326
52,-0.7857142857142857
RI,0.0061354311913984876
PFcm,-0.05770421080664973
PoI2,-0.5471014969720708
TA2,-0.1619758474969197
FOP4,-0.2052132455831683
MI,-0.05692756881432131
Pir,
AVI,0.14979901578054763
AAIC,0.011049892402196596
FOP1,-0.7453182997141211
FOP3,-0.6167415842106685
FOP2,-0.6269711891628198
PFt,
AIP,0.16413449679361747
EC,
PreS,
H,-0.2885469554699913
ProS,
PeEc,
STGa,
PBelt,-0.5463333683402207
A5,-0.5680729212606334
PHA1,
PHA3,0.32142857142857145
STSda,0.22456278586320125
STSdp,-0.6487606767600668
STSvp,0.017601770827222307
TGd,
TE1a,0.22767110220996253
TE1p,0.04699484177516547
TE2a,0.14360792600936098
TF,0.1924703040138163
TE2p,0.32982659173657686
PHT,-0.2835164835164835
PH,0.20732805419115255
TPOJ1,-0.3691474062492188
TPOJ2,
TPOJ3,
DVT,
PGp,
IP2,0.12552411131335844
IP1,
IP0,
PFop,-0.2977237490437971
PF,-0.32161736839461325
PFm,-0.5062619907488708
PGi,-0.5659340659340659
PGs,-0.5357142857142857
V6A,
VMV1,0.32142857142857145
VMV3,0.01197626261913259
PHA2,
V4t,
FST,-0.045454545454545456
V3CD,0.21428571428571427
LO3,
VMV2,
31pd,-0.018018749253911177
31a,
VVC,0.16491329586828843
25,
s32,-0.026809662179890417
pOFC,
PoI1,-0.7105134964860705
Ig,-0.6238794669049376
FOP5,-0.09305852076870381
p10p,
p47r,0.0027548313899195434
TGv,
MBelt,-0.6094613148925724
LBelt,-0.25874125874125875
A4,-0.5184939108156592
STSva,-0.1896372005189776
TE1m,-0.09572911707328523
PI,-0.3097957923531795
a32pr,-0.6713625827465886
p24,-0.9341484842923421
