,left,right,left,right,left,right
,MTL,,PFC,,OFC,
S1,,RHD2,,RCD8,,ROF1
,,RTHD1,,RCD9,,ROF2
,,,,RCD10,,ROF3
,,,,ROF6,,ROF4
,,,,ROF7,,ROF5
,,,,ROF8,,
,,,,ROF9,,
,,,,ROF10,,
S2,LAH5,,LIN10,RC8,,ROF2
,LAH6,,LIN14,RC9,,ROF3
,LAH7,,LIN15,RC10,,ROF4
,LAH8,,LIN16,RC11,,
,LAH9,,,RC12,,
,LAH10,,,ROF11,,
,LAH11,,,ROF12,,
,,,,ROF13,,
,,,,ROF14,,
,,,,ROF15,,
,,,,ROF16,,
S3,,RAH3,LOF5,ROF7,LOF2,
,,RAH10,LOF6,ROF8,,
S4,LAM3,RAM3,LCI5,ROF7,,ROF1
,LHH2,,LCI6,ROF8,,ROF2
,LTH1,,LCI7,RCI5,,
,LTH2,,LCI8,RCI6,,
,,,LCI9,RCI7,,
,,,,RCI8,,
,,,,RCI9,,
S5,MST3,,LTG17,,OFG1,
,MST9,,LTG25,,OFG2,
,,,LTG26,,OFG3,
,,,LTG33,,OFG4,
,,,LTG34,,OFG6,
,,,LTG35,,OFG7,
,,,LTG41,,OFG8,
,,,LTG42,,OFG9,
,,,LTG43,,OFG11,
,,,LTG44,,OFG12,
,,,,,OFG13,
,,,,,OFG14,
,,,,,OFG16,
,,,,,OFG17,
,,,,,OFG18,
,,,,,OFG19,
S6,PT3,,PF2,,AOF1,
,,,PF3,,AOF2,
,,,PF4,,AOF3,
,,,PF5,,AOF4,
,,,PF6,,AOF5,
,,,FG4,,MOF1,
,,,FG5,,MOF2,
,,,FG6,,MOF3,
,,,FG7,,MOF4,
,,,FG11,,MOF5,
,,,FG12,,POF1,
,,,FG13,,POF2,
,,,FG14,,POF3,
,,,FG15,,POF4,
,,,FG17,,POF5,
,,,FG18,,FG2,
,,,FG19,,FG3,
,,,FG20,,FG9,
,,,FG21,,FG10,
,,,FG22,,,
,,,FG23,,,
,,,FG25,,,
,,,FG26,,,
,,,FG27,,,
,,,FG28,,,
,,,FG29,,,
,,,FG30,,,
,,,FG31,,,
S7,LAM5,,LOF6,ROF9,LOF2,ROF1
,LHH4,,LOF7,RAC9,,ROF6
,,,LOF8,RAC10,,ROF7
,,,LOF9,RIN7,,ROF8
,,,LIN3,RIN8,,
,,,LIN4,RIN9,,
,,,LIN5,,,
,,,LIN6,,,
,,,LIN7,,,
,,,LIN8,,,
,,,LIN9,,,
S8,CL_02,BR_03,FOPL_04,,,
,,BR_04,FOPL_05,,,
,,BR_05,FOAL_04,,,
,,AR_01,FOAL_05,,,
S9,CL_03,,FOLA_09,FORA_09,,
,CL_04,,FOLA_10,FORA_10,,
,BL_02,,FOLA_11,FORA_11,,
,BL_03,,FOLA_12,FORA_12,,
,BL_04,,FOLP_12,FORP_13,,
,,,FOLP_13,FAR_02,FAL_01,
,,,,FAR_03,FAL_02,
,,,,FAR_04,FAL_03,
,,,,FAR_05,FAL_04,
,,,,FMR_04,,
,,,,FMR_05,,
,,,,FMR_06,,
S10,TP1,,,,AVF1,OF2
,TP2,,,,AVF2,OF3
,TP3,,,,AVF3,
,TP4,,,,AVF4,
,TP5,,,,AVF5,
,,,,,AVF8,
,,,,,AVF9,
,,,,,MVF1,
,,,,,MVF2,
,,,,,MVF3,
,,,,,MVF4,
,,,,,PVF2,
,,,,,PVF3,
,,,,,PVF4,
,,,,,OF4,
,,,,,OF5,
,,,,,OF6,
,,,,,FG1,
,,,,,FG2,
,,,,,FG3,
,,,,,FG4,
,,,,,FG5,
,,,,,FG9,
,,,,,FG10,
,,,,,FG11,
,,,,,FG13,
,,,,,FG14,
,,,,,FG15,
,,,,,FG16,
,,,,,FG17,
,,,,,FG19,
,,,,,FG22,
,,,,,FG23,
,,,,,FG25,
,,,,,FG26,
,,,,,FG27,
,,,,,FG28,
,,,,,FG29,
,,,,,FG40,
,,,,,FG41,
,,,,,FP2,
,,,,,FP3,
,,,,,FP4,
,,,,,FP5,
,,,,,FP6,
